model,purity_at_10,silhouette_score,test_accuracy,macro_precision,macro_recall,macro_f1
resnet101,0.8719666666666667,0.27360973,0.9156666666666666,0.9184158034671775,0.9171110449172376,0.917490717668826
googlenet,0.8448,0.20556950569152832,0.8946666666666667,0.8984872793439279,0.8952581587386762,0.895787771263682
